Transaction,Instrument,Qty,Entry,Entry Price,Entry Time,Exit,Exit Price,Exit Time,Profit,Cumulative Profit
55,NIFTY19MAR207950PE,65,SELL,145.85,19 Mar 2020 10:45:14,BUY,136.05,19 Mar 2020 10:45:29,637,1300
56,NIFTY26MAR208200PE,65,BUY,381.8,20 Mar 2020 10:45:14,SELL,376.8,20 Mar 2020 10:46:00,-325,1657.5
56,NIFTY26MAR208250PE,65,SELL,404,20 Mar 2020 10:45:14,BUY,393.5,20 Mar 2020 10:46:00,682.5,1657.5
57,NIFTY26MAR207800PE,65,BUY,348.85,23 Mar 2020 10:45:14,SELL,366.25,23 Mar 2020 10:57:44,1131,3682.25
57,NIFTY26MAR207850PE,65,SELL,368.75,23 Mar 2020 10:45:14,BUY,355,23 Mar 2020 10:58:00,893.75,3682.25
58,NIFTY26MAR207600PE,65,BUY,340.95,24 Mar 2020 10:45:14,SELL,307.8,24 Mar 2020 10:53:14,-2154.75,3825.25
58,NIFTY26MAR207650PE,65,SELL,358.1,24 Mar 2020 10:45:14,BUY,322.75,24 Mar 2020 10:53:14,2297.75,3825.25
59,NIFTY26MAR207750PE,65,BUY,242.1,25 Mar 2020 10:45:14,SELL,236.25,25 Mar 2020 10:45:29,-380.25,4062.5
59,NIFTY26MAR207800PE,65,SELL,259.55,25 Mar 2020 10:45:14,BUY,250.05,25 Mar 2020 10:45:29,617.5,4062.5
60,NIFTY26MAR208600PE,65,BUY,100.65,26 Mar 2020 10:45:14,SELL,105.65,26 Mar 2020 10:45:44,325,3734.25
60,NIFTY26MAR208650PE,65,SELL,123.8,26 Mar 2020 10:45:14,BUY,133.85,26 Mar 2020 10:46:00,-653.25,3734.25
61,NIFTY01APR208750PE,65,BUY,415,27 Mar 2020 10:45:14,SELL,429.9,27 Mar 2020 10:45:44,968.5,3961.75
61,NIFTY01APR208800PE,65,SELL,439.2,27 Mar 2020 10:45:14,BUY,450.6,27 Mar 2020 10:45:44,-741,3961.75
62,NIFTY01APR208550PE,65,BUY,307.4,30 Mar 2020 10:45:14,SELL,306.9,30 Mar 2020 10:45:29,-32.5,4124.25
62,NIFTY01APR208600PE,65,SELL,330,30 Mar 2020 10:45:14,BUY,327,30 Mar 2020 10:45:29,195,4124.25
63,NIFTY01APR208450PE,65,BUY,151,31 Mar 2020 10:45:14,SELL,158.55,31 Mar 2020 10:46:44,490.75,3835
63,NIFTY01APR208500PE,65,SELL,174.6,31 Mar 2020 10:45:14,BUY,186.6,31 Mar 2020 10:47:00,-780,3835
64,NIFTY01APR208300PE,65,BUY,58,01 Apr 2020 10:45:14,SELL,60.9,01 Apr 2020 10:45:44,188.5,3796
64,NIFTY01APR208350PE,65,SELL,82.4,01 Apr 2020 10:45:14,BUY,85.9,01 Apr 2020 10:46:00,-227.5,3796
65,NIFTY09APR208050PE,65,BUY,220.4,03 Apr 2020 10:45:14,SELL,222,03 Apr 2020 10:46:29,104,3929.25
65,NIFTY09APR208100PE,65,SELL,244.2,03 Apr 2020 10:45:14,BUY,243.75,03 Apr 2020 10:46:29,29.25,3929.25
66,NIFTY09APR208400PE,65,BUY,129,07 Apr 2020 10:45:14,SELL,135.45,07 Apr 2020 10:45:44,419.25,3926
66,NIFTY09APR208450PE,65,SELL,153,07 Apr 2020 10:45:14,BUY,159.5,07 Apr 2020 10:46:00,-422.5,3926
