"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"30.1","2025-02-10"," 9:35:00 AM","2025-02-10"," 9:36:00 AM","CE","23550","Buy","65","101.10","101.20","","6.50"
"30.2","2025-02-10"," 9:35:00 AM","2025-02-10"," 9:36:00 AM","PE","23350","Buy","65","97.20","98.25","","68.25"
"31","2025-02-11"," 9:35:00 AM","2025-02-11"," 9:36:00 AM","","","","","","","14.74","-39.00"
"31.1","2025-02-11"," 9:35:00 AM","2025-02-11"," 9:36:00 AM","CE","23400","Buy","65","103.10","105.15","","133.25"
"31.2","2025-02-11"," 9:35:00 AM","2025-02-11"," 9:36:00 AM","PE","23200","Buy","65","78.35","75.70","","-172.25"
"32","2025-02-12"," 9:35:00 AM","2025-02-12"," 9:36:00 AM","","","","","","","15.18","61.75"
"32.1","2025-02-12"," 9:35:00 AM","2025-02-12"," 9:36:00 AM","CE","23050","Buy","65","69.55","70.95","","91.00"
"32.2","2025-02-12"," 9:35:00 AM","2025-02-12"," 9:36:00 AM","PE","22850","Buy","65","57.45","57.00","","-29.25"
"33","2025-02-13"," 9:35:00 AM","2025-02-13"," 9:36:00 AM","","","","","","","15.18","185.25"
"33.1","2025-02-13"," 9:35:00 AM","2025-02-13"," 9:36:00 AM","CE","23200","Buy","65","45.85","46.75","","58.50"
"33.2","2025-02-13"," 9:35:00 AM","2025-02-13"," 9:36:00 AM","PE","23000","Buy","65","39.10","41.05","","126.75"
"34","2025-02-14"," 9:35:00 AM","2025-02-14"," 9:36:00 AM","","","","","","","14.99","91.00"
"34.1","2025-02-14"," 9:35:00 AM","2025-02-14"," 9:36:00 AM","CE","23100","Buy","65","163.65","159.20","","-289.25"
"34.2","2025-02-14"," 9:35:00 AM","2025-02-14"," 9:36:00 AM","PE","22900","Buy","65","116.65","122.50","","380.25"
"35","2025-02-17"," 9:35:00 AM","2025-02-17"," 9:36:00 AM","","","","","","","16.00","536.25"
"35.1","2025-02-17"," 9:35:00 AM","2025-02-17"," 9:36:00 AM","CE","22900","Buy","65","152.85","155.90","","198.25"
"35.2","2025-02-17"," 9:35:00 AM","2025-02-17"," 9:36:00 AM","PE","22700","Buy","65","104.05","109.25","","338.00"
"36","2025-02-18"," 9:35:00 AM","2025-02-18"," 9:36:00 AM","","","","","","","16.15","188.50"
"36.1","2025-02-18"," 9:35:00 AM","2025-02-18"," 9:36:00 AM","CE","23000","Buy","65","99.90","101.90","","130.00"
"36.2","2025-02-18"," 9:35:00 AM","2025-02-18"," 9:36:00 AM","PE","22800","Buy","65","113.10","114.00","","58.50"
"37","2025-02-19"," 9:35:00 AM","2025-02-19"," 9:36:00 AM","","","","","","","15.62","78.00"
"37.1","2025-02-19"," 9:35:00 AM","2025-02-19"," 9:36:00 AM","CE","23000","Buy","65","59.80","61.00","","78.00"
"37.2","2025-02-19"," 9:35:00 AM","2025-02-19"," 9:36:00 AM","PE","22800","Buy","65","64.10","64.10","","0.00"
"38","2025-02-20"," 9:35:00 AM","2025-02-20"," 9:36:00 AM","","","","","","","15.53","42.25"
"38.1","2025-02-20"," 9:35:00 AM","2025-02-20"," 9:36:00 AM","CE","22950","Buy","65","28.90","29.50","","39.00"
"38.2","2025-02-20"," 9:35:00 AM","2025-02-20"," 9:36:00 AM","PE","22750","Buy","65","18.55","18.60","","3.25"
"39","2025-02-21"," 9:35:00 AM","2025-02-21"," 9:36:00 AM","","","","","","","14.59","-55.25"
"39.1","2025-02-21"," 9:35:00 AM","2025-02-21"," 9:36:00 AM","CE","23000","Buy","65","114.70","115.40","","45.50"
"39.2","2025-02-21"," 9:35:00 AM","2025-02-21"," 9:36:00 AM","PE","22800","Buy","65","106.35","104.80","","-100.75"
"40","2025-02-24"," 9:35:00 AM","2025-02-24"," 9:36:00 AM","","","","","","","15.09","-35.75"
"40.1","2025-02-24"," 9:35:00 AM","2025-02-24"," 9:36:00 AM","CE","22750","Buy","65","84.25","84.50","","16.25"
"40.2","2025-02-24"," 9:35:00 AM","2025-02-24"," 9:36:00 AM","PE","22550","Buy","65","82.50","81.70","","-52.00"
"41","2025-02-25"," 9:35:00 AM","2025-02-25"," 9:37:00 AM","","","","","","","14.05","107.25"
"41.1","2025-02-25"," 9:35:00 AM","2025-02-25"," 9:36:00 AM","CE","22700","Buy","65","38.55","39.30","","48.75"
"41.2","2025-02-25"," 9:35:00 AM","2025-02-25"," 9:37:00 AM","PE","22500","Buy","65","40.60","41.50","","58.50"
"42","2025-02-27"," 9:35:00 AM","2025-02-27"," 9:36:00 AM","","","","","","","13.39","-58.50"
